game_no,team,opp,result,location,FG,FGA,x2P,x2PA,x3P,x3PA,FT,FTA,PTS
330,SAS,MEM,W,H,37,77,29,51,8,26,15,23,97
331,BOS,IND,W,H,43,84,32,57,11,27,12,14,109
332,IND,BOS,L,H,38,87,27,59,11,28,13,19,100
333,CHI,DET,W,H,47,80,36,57,11,23,12,19,117
334,DET,CHI,L,H,39,88,32,68,7,20,10,17,95
335,CLE,DEN,L,H,43,85,28,48,15,37,12,14,113
336,DEN,CLE,W,H,51,96,40,70,11,26,13,13,126
337,OKC,PHI,W,H,48,88,44,72,4,16,22,30,122
338,PHI,OKC,L,H,37,87,29,62,8,25,15,17,97
339,CHO,ORL,W,H,42,90,33,63,9,27,16,18,109
340,ORL,CHO,L,H,40,88,26,48,14,40,8,10,102
341,MIL,SAC,W,H,43,81,27,46,16,35,14,19,116
342,SAC,MIL,L,H,41,84,31,58,10,26,6,10,98
343,NYK,UTA,L,H,38,80,29,59,9,21,16,18,101
344,UTA,NYK,W,H,41,90,34,62,7,28,19,29,108
345,ATL,WAS,L,H,34,86,26,61,8,25,24,29,100
346,WAS,ATL,W,H,38,95,27,61,11,34,17,23,104
347,BRK,DET,W,H,38,88,28,59,10,29,12,19,98
348,DET,BRK,L,H,40,92,35,69,5,23,11,16,96
349,DAL,GSW,L,H,33,92,22,58,11,34,10,12,87
350,GSW,DAL,W,H,43,78,30,48,13,30,13,16,112
351,LAC,LAL,W,H,45,84,30,51,15,33,28,32,133
352,LAL,LAC,L,H,43,92,37,72,6,20,17,27,109
353,MIA,PHO,W,H,42,96,31,69,11,27,17,23,112
354,PHO,MIA,L,H,36,82,32,66,4,16,21,29,97
355,MIN,SAS,L,H,32,72,25,57,7,15,22,25,93
356,SAS,MIN,W,H,37,77,29,53,8,24,18,22,100
357,MEM,NOP,L,H,32,79,23,44,9,35,9,13,82
358,NOP,MEM,W,H,35,88,26,59,9,29,16,19,95
359,MIL,POR,W,H,38,90,31,74,7,16,10,12,93
360,POR,MIL,L,H,35,83,31,62,4,21,16,26,90
361,CHI,TOR,L,H,42,90,28,53,14,37,22,27,120
362,TOR,CHI,W,H,47,95,39,72,8,23,20,27,122
363,BOS,WAS,W,H,40,93,30,60,10,33,20,28,110
364,WAS,BOS,L,H,37,86,29,51,8,35,20,26,102
